Clase,Loudness,Duration,Spectral Energy,Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
ARTIFICIAL,-40.981109619140625,7.56,0.06415934,0.12100687787576687,2507.5735305203916,2544.7307551871168,21.139373499907943,-273.5770568847656,82.03973388671875,12.804317474365234,9.641642570495605,20.619251251220703,4.536248207092285,-3.363075017929077,0.4343968629837036,-12.316614151000977,1.0556561946868896,-14.422717094421387,-2.282238483428955,0.6787939071655273,-7.635027885437012,0.29135844111442566,3.8558125495910645,-5.24883508682251,-0.4015219211578369,-4.591334819793701,-0.6790143847465515
ARTIFICIAL,-32.394709437298346,7.56,0.068093605,0.26617019746932513,3966.8160941869205,3213.900001580981,14.977469343505259,-149.48492506704878,40.861550201431356,18.424004902110955,11.430193405265722,10.461711855299216,5.88575429298279,-0.7211589616240885,-2.6640157636247057,-5.313866943289244,-5.169991540766512,-6.898968480374288,-2.642497130903614,-1.9030166890145008,-3.7638963079590253,-1.2926437719174322,0.6382243528659975,-1.9096049515683984,-2.641104795283165,-2.0159829503593496,-2.30106801804277
ARTIFICIAL,-43.470130920410156,7.56,0.04191947,0.12028793615797546,2438.098013332311,2623.353451102939,22.304699867354792,-309.2866516113281,83.6719970703125,10.50318717956543,6.956142425537109,18.750173568725586,3.394334316253662,-5.307304382324219,-1.1851222515106201,-14.675907135009766,0.7261173129081726,-13.476508140563965,-2.7162346839904785,0.27925345301628113,-7.2006964683532715,0.030087944120168686,3.8655025959014893,-4.86367130279541,-0.8005993366241455,-4.931684970855713,-1.6728633642196655
ARTIFICIAL,-40.234527587890625,7.56,0.0655137,0.11894591161809816,2496.0612769455984,2537.2174851288346,21.214054444223304,-269.61273193359375,83.51361846923828,13.313626289367676,9.938130378723145,21.415935516357422,4.453074932098389,-3.607675075531006,0.6400883197784424,-12.536120414733887,1.2591077089309692,-14.907081604003906,-2.427097797393799,0.7691927552223206,-7.984065055847168,0.4065902829170227,3.949261426925659,-5.675634384155273,-0.43038901686668396,-4.682340145111084,-0.8287550806999207
ARTIFICIAL,-41.542083740234375,7.56,0.043986328,0.12921629361579753,2572.83630988978,2660.464374662336,22.581850353633868,-290.09796142578125,79.05236053466797,13.06566333770752,10.750588417053223,18.320566177368164,2.844402313232422,-4.873785972595215,-3.625556707382202,-12.345211029052734,-0.31703829765319824,-14.828364372253418,1.465079426765442,-2.238004446029663,-6.759490966796875,2.2062628269195557,1.0166854858398438,-6.159552574157715,-1.1269062757492065,-5.304849147796631,-3.0453715324401855
ARTIFICIAL,-34.66494369506836,7.56,0.07449507,0.12263198571702454,2478.048951754036,2248.317595485178,23.20303275874398,-229.81427001953125,80.68862915039062,-7.763619422912598,28.113256454467773,5.8874921798706055,-10.24611759185791,3.0612385272979736,-3.4029877185821533,-21.595169067382812,4.760803699493408,-19.555179595947266,-0.4655795395374298,-6.4500298500061035,-14.482125282287598,-1.528671145439148,-4.352267742156982,-8.755951881408691,-3.2518789768218994,-4.499202728271484,-5.354215145111084
ARTIFICIAL,-32.004724894140985,7.56,0.07499408,0.18266811253834356,3134.041678858873,2713.4116191803714,17.272853490033725,-180.24706479945996,56.014918412692964,1.5024493562755044,20.629816337855452,4.713409141985975,-7.4118310939237215,1.7051203614966137,-4.2081532221152775,-14.957551256698679,-1.7564727117244197,-11.590060504695609,-4.356144947072228,-3.7480358191675425,-12.779443905022358,-3.570541845454567,-2.936948476803323,-8.223043966332204,-4.013032154248367,-2.440208413104299,-7.021750182564811
ARTIFICIAL,-35.19491958618164,7.56,0.050624147,0.13559240797546013,2431.5394733063886,2284.2123511361974,24.097139192112643,-245.4164276123047,84.07722473144531,-9.169220924377441,26.433032989501953,5.792276859283447,-11.089539527893066,1.1518672704696655,-4.541071891784668,-22.51950454711914,3.384598970413208,-18.669172286987305,-0.6838344931602478,-6.608419418334961,-16.173959732055664,-2.4970083236694336,-4.167494297027588,-9.723323822021484,-2.8274621963500977,-4.5827741622924805,-5.311919212341309
ARTIFICIAL,-35.038639068603516,7.56,0.073992506,0.12437392158742332,2485.744532121956,2255.1686186106394,23.093114440298088,-231.94459533691406,79.90099334716797,-7.715643405914307,27.971416473388672,5.644096374511719,-10.543517112731934,2.9343931674957275,-3.437453508377075,-21.546567916870117,4.591907978057861,-19.173484802246094,-0.6031707525253296,-6.200440406799316,-14.265430450439453,-1.575569748878479,-4.266162872314453,-8.702217102050781,-3.1837196350097656,-4.377336502075195,-5.327209949493408
ARTIFICIAL,-34.915401458740234,7.56,0.051931195,0.14166297210506135,2499.215474387123,2302.944779856964,24.513832158516834,-239.6460418701172,81.426513671875,-7.811189651489258,28.24614143371582,1.3055965900421143,-14.425044059753418,2.08410906791687,-8.465747833251953,-21.957611083984375,3.2490122318267822,-21.148189544677734,2.2733349800109863,-11.337498664855957,-13.147724151611328,-0.21621020138263702,-6.684116363525391,-8.537988662719727,-2.855595350265503,-5.12694787979126,-7.810143947601318
