,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
30,30,492.48430020895,7.0,450.68183982043337,0.0764440234529281,-0.0004475411821897,0.0842117085131456,-0.0030309673865522,29.0,28.0,30.0,1002.5696478709374,-0.0001980471393689,76.36757942947517,58.0,hussein,13.1,18.1,5.000000000000002,30,5.999999999999998,1
31,31,438.0456125232378,7.0,509.0455144278674,0.078633590232428,-0.0001681564601365,0.0840173602746533,-0.0039452683050428,29.0,28.0,28.0,1002.798022171414,-3.0775659033165404e-05,78.55495664219558,58.0,hussein,18.1,23.1,5.0,28,5.6,1
32,32,406.2623012955261,8.0,474.368615882719,0.0672325148099666,8.312314790960074e-05,0.0674161330378517,-0.0108905512525168,28.0,28.0,28.0,1001.862269763952,-0.0002602868016487,67.16528229515663,56.0,hussein,23.1,28.1,5.0,28,5.6,0
33,33,97.98593608208074,9.0,112.27817862995232,0.0589840404342141,-0.0120034087555476,0.0621528295960406,-0.0282415795984935,4.0,4.0,4.0,159.3509180217159,-0.0067572643252727,9.378462429040052,5.0,hussein,28.1,28.9,0.7999999999999972,2,2.500000000000009,1
34,34,672.6075406519295,8.0,549.0666097231389,0.0943549203302802,0.001192981116573,0.0890036070573772,-0.029470929530361,28.0,28.0,28.0,1004.828139959404,0.000573907675746,94.26056540994992,52.0,jesus,4.3,9.3,5.000000000000001,28,5.599999999999999,0
35,35,661.1653707414982,8.0,458.2750613378008,0.0857090493702404,-0.0006627038322242,0.0867728920090193,-0.0119024544772858,29.0,28.0,28.0,1003.7218530476018,-0.0004419708421286,85.6233403208702,42.0,jesus,9.3,14.3,5.0,28,5.6,0
36,36,669.6332750925776,8.0,546.7924696029039,0.0943083983123198,0.001562812918516,0.0961069247223034,0.0072764290438872,28.0,29.0,29.0,1004.7934901138934,0.0003038250755953,94.21408991400747,49.0,jesus,14.3,19.3,5.0,29,5.8,0
37,37,572.3005627437751,8.0,477.4622825707747,0.0930415136228554,8.154705496896395e-05,0.0911186810777349,0.0216880180465572,29.0,28.0,28.0,1004.7214938609686,-0.0002585869192643,92.94847210923254,54.0,jesus,19.300000000000004,24.300000000000004,5.0,28,5.6,1
38,38,622.5389480875039,8.0,491.6725012730125,0.1069199014126634,-0.0014086982043498,0.1081599315349867,0.0220154980179672,29.0,28.0,29.0,1006.3307151770986,0.0003142274889569,106.8129815112508,57.0,jesus,24.300000000000004,29.300000000000004,5.0,29,5.8,0
39,39,280.24231771544385,8.0,277.8663415222778,0.1021555199551341,-0.003271443454811,0.1037544920899496,0.0073201106022195,12.0,12.0,13.0,421.822254679034,-0.0027678071921758,42.8031628612012,22.0,jesus,29.300000000000004,31.4,2.0999999999999943,11,5.238095238095252,1
